sex,age,Length,L,M,S
1,24,102,-0.3521,15.7276,0.08292
1,24,102.5,-0.3521,15.8732,0.08317
1,24,103,-0.3521,16.0206,0.08343
1,24,103.5,-0.3521,16.1697,0.0837
1,24,104,-0.3521,16.3204,0.08397
1,24,104.5,-0.3521,16.4728,0.08425
1,24,105,-0.3521,16.6268,0.08453
1,24,105.5,-0.3521,16.7826,0.08481
1,24,106,-0.3521,16.9401,0.0851
1,24,106.5,-0.3521,17.0995,0.08539
1,24,107,-0.3521,17.2607,0.08568
1,24,107.5,-0.3521,17.4237,0.08599
1,24,108,-0.3521,17.5885,0.08629
1,24,108.5,-0.3521,17.7553,0.0866
1,24,109,-0.3521,17.9242,0.08691
1,24,109.5,-0.3521,18.0954,0.08723
1,24,110,-0.3521,18.2689,0.08755
1,60,65,-0.3521,7.4327,0.08217
1,60,65.5,-0.3521,7.5504,0.08214
1,60,66,-0.3521,7.6673,0.08212
1,60,66.5,-0.3521,7.7834,0.08212
1,60,67,-0.3521,7.8986,0.08213
1,60,67.5,-0.3521,8.0132,0.08214
1,60,68,-0.3521,8.1272,0.08217
1,60,68.5,-0.3521,8.241,0.08221
1,60,69,-0.3521,8.3547,0.08226
1,60,69.5,-0.3521,8.468,0.08231
1,60,70,-0.3521,8.5808,0.08237
1,60,70.5,-0.3521,8.6927,0.08243
1,60,71,-0.3521,8.8036,0.0825
1,60,71.5,-0.3521,8.9135,0.08257
1,60,72,-0.3521,9.0221,0.08264
1,60,72.5,-0.3521,9.1292,0.08272
1,60,73,-0.3521,9.2347,0.08278
1,60,73.5,-0.3521,9.339,0.08285
1,60,74,-0.3521,9.442,0.08292
1,60,74.5,-0.3521,9.5438,0.08298
1,60,75,-0.3521,9.644,0.08303
1,60,75.5,-0.3521,9.7425,0.08308
1,60,76,-0.3521,9.8392,0.08312
1,60,76.5,-0.3521,9.9341,0.08315
1,60,77,-0.3521,10.0274,0.08317
1,60,77.5,-0.3521,10.1194,0.08318
1,60,78,-0.3521,10.2105,0.08317
1,60,78.5,-0.3521,10.3012,0.08315
1,60,79,-0.3521,10.3923,0.08311
1,60,79.5,-0.3521,10.4845,0.08305
1,60,80,-0.3521,10.5781,0.08298
1,60,80.5,-0.3521,10.6737,0.0829
1,60,81,-0.3521,10.7718,0.08279
1,60,81.5,-0.3521,10.8728,0.08268
1,60,82,-0.3521,10.9772,0.08255
1,60,82.5,-0.3521,11.0851,0.08241
1,60,83,-0.3521,11.1966,0.08225
1,60,83.5,-0.3521,11.3114,0.08209
1,60,84,-0.3521,11.429,0.08191
1,60,84.5,-0.3521,11.549,0.08174
1,60,85,-0.3521,11.6707,0.08156
